"Formatted.Date","Summary","Precip.Type","Temp","Apparent.Temp","Humidity","Wind.Speed","Wind.Bearing.deg","Visibility","Loud.Cover","Pressure","Daily.Summary"
"2007-08-23 14:00:00.000 +0200","Partly Cloudy","rain",36.9611111111111,37.5388888888889,0.29,13.685,231,10.3523,0,1015.44,"Partly cloudy until night."
"2015-08-15 18:00:00.000 +0200","Partly Cloudy","rain",33.8888888888889,32.7333333333333,0.27,4.4758,289,16.1,0,1005.42,"Partly cloudy starting in the morning."
"2015-03-07 15:00:00.000 +0100","Partly Cloudy","rain",9.95,8.41111111111111,0.34,11.0768,24,16.1,0,1033.44,"Partly cloudy starting in the morning continuing until evening."
"2006-11-02 21:00:00.000 +0100","Partly Cloudy","snow",-0.627777777777777,-5.60555555555556,0.57,17.4363,299,15.8263,0,1020.8,"Partly cloudy throughout the day and breezy starting in the morning continuing until evening."
"2016-07-04 06:00:00.000 +0200","Partly Cloudy","rain",15.9944444444444,15.9944444444444,0.81,12.0589,320,16.1,0,1020.46,"Partly cloudy throughout the day."
"2016-11-27 11:00:00.000 +0100","Mostly Cloudy","rain",5.25,2.27222222222222,0.82,13.7494,175,8.855,0,1019.66,"Mostly cloudy throughout the day."
"2016-11-15 18:00:00.000 +0100","Mostly Cloudy","rain",6.48888888888889,4.66111111111111,0.8,8.9999,140,9.8371,0,1018.46,"Partly cloudy throughout the day."
"2016-11-02 15:00:00.000 +0100","Clear","rain",9.81666666666667,9.81666666666667,0.74,4.2021,213,0,0,1019.48,"Mostly cloudy until morning."
"2009-02-01 19:00:00.000 +0100","Overcast","rain",2.39444444444445,-1.37777777777778,0.9,14.6027,88,9.1609,0,1017.81,"Overcast until night."
"2008-12-26 21:00:00.000 +0100","Clear","snow",-4.14444444444444,-7.01666666666667,0.88,6.5527,352,14.9569,0,1036.16,"Partly cloudy starting in the morning continuing until evening."
"2012-01-14 21:00:00.000 +0100","Clear","snow",-0.555555555555556,-6.06111111111111,0.75,20.93,290,16.1,0,1016.4,"Partly cloudy until evening and breezy starting in the morning continuing until afternoon."
"2015-09-22 01:00:00.000 +0200","Clear","rain",8.79444444444444,8.79444444444444,0.93,3.059,323,16.0517,0,1014.94,"Partly cloudy starting in the morning continuing until night."
"2015-12-19 07:00:00.000 +0100","Foggy","rain",2.76111111111111,0.894444444444444,1,6.7781,322,1.6261,0,1028.74,"Foggy starting overnight continuing until afternoon."
"2006-12-18 20:00:00.000 +0100","Overcast","rain",2.75555555555556,-1.36666666666667,0.9,17.2914,18,7.9051,0,1023.65,"Foggy starting overnight continuing until morning."
"2006-05-19 16:00:00.000 +0200","Mostly Cloudy","rain",21.2055555555556,21.2055555555556,0.63,12.9444,319,11.27,0,1012.02,"Mostly cloudy throughout the day."
"2006-09-27 02:00:00.000 +0200","Mostly Cloudy","rain",14.5611111111111,14.5611111111111,0.92,4.8944,13,14.0875,0,1012.04,"Mostly cloudy throughout the day."
"2014-05-16 15:00:00.000 +0200","Overcast","rain",12.8722222222222,12.8722222222222,0.82,15.456,129,9.982,0,1008.88,"Mostly cloudy throughout the day."
"2014-08-22 21:00:00.000 +0200","Mostly Cloudy","rain",17.6611111111111,17.6611111111111,0.71,9.338,31,16.1,0,1016.41,"Partly cloudy throughout the day."
"2012-02-11 14:00:00.000 +0100","Overcast","snow",-10,-14.4833333333333,0.73,8.05,330,4.991,0,1028.9,"Foggy starting overnight continuing until morning."
"2014-07-20 13:00:00.000 +0200","Partly Cloudy","rain",31.1333333333333,30.1222222222222,0.32,4.6046,177,16.1,0,1014.59,"Partly cloudy starting in the morning."
"2013-12-10 17:00:00.000 +0100","Partly Cloudy","snow",-2.17777777777778,-5.18888888888889,0.69,7.7441,21,16.1,0,1039.33,"Mostly cloudy until night."
"2014-12-28 14:00:00.000 +0100","Foggy","snow",-1.11111111111111,-7.38888888888889,0.92,25.599,30,1.8354,0,1006.1,"Foggy starting in the morning continuing until evening and breezy in the evening."
"2006-08-14 19:00:00.000 +0200","Partly Cloudy","rain",20.8555555555556,20.8555555555556,0.7,4.5885,148,11.27,0,1012.28,"Mostly cloudy until night."
"2012-05-18 12:00:00.000 +0200","Partly Cloudy","rain",16.1111111111111,16.1111111111111,0.48,11.27,10,11.27,0,1018.8,"Partly cloudy until night."
"2013-09-04 11:00:00.000 +0200","Partly Cloudy","rain",22.0333333333333,22.0333333333333,0.38,4.1216,178,15.5526,0,1025.75,"Partly cloudy starting overnight."
"2011-09-28 11:00:00.000 +0200","Clear","rain",23.6444444444444,23.6444444444444,0.42,13.8782,21,10.3523,0,1027.36,"Partly cloudy starting in the afternoon continuing until evening."
"2008-03-20 20:00:00.000 +0100","Overcast","rain",1.11111111111111,-1.26666666666667,0.69,7.5348,335,9.982,0,1010.07,"Mostly cloudy throughout the day."
"2011-12-20 02:00:00.000 +0100","Overcast","snow",0,-3.51111111111111,0.96,10.8353,9,4.1216,0,1014.16,"Mostly cloudy starting overnight continuing until night."
"2012-09-10 18:00:00.000 +0200","Mostly Cloudy","rain",28.8111111111111,27.5722222222222,0.27,7.6797,147,9.982,0,1017.91,"Partly cloudy starting in the morning."
"2014-07-13 02:00:00.000 +0200","Partly Cloudy","rain",15.9666666666667,15.9666666666667,0.87,3.22,199,15.1501,0,1011.23,"Partly cloudy throughout the day."
"2012-03-29 03:00:00.000 +0200","Partly Cloudy","rain",10.5555555555556,10.5555555555556,0.56,11.27,240,16.1,0,1015.8,"Mostly cloudy starting overnight and breezy starting in the morning continuing until afternoon."
"2007-12-25 01:00:00.000 +0100","Overcast","snow",-3.48333333333333,-3.48333333333333,0.86,2.576,88,4.0572,0,1031.3,"Overcast throughout the day."
